_table,part_id,type,category,base_desc,size_spec,variant,plain_desc,supplier,uom,qty_on_hand,unit_cost,cost,brand_mfg,supplier_pn,pkg_size,pkg_cost,labor_hrs,on_hand,status,supplier_2,brand_mfg_2,supplier_pn_2,pkg_size_2,pkg_cost_2,unit_cost_2,use_alt_supplier,last_cost_date,parent_id,child_id,qty,project_id,proj_status,customer,notes,labor_rate,markup,picked,item_type,box_num,discount_pct,discount_flat,weight,pallet_num,dimensions,description,labor_hrs,apply_markup,show_on_proforma,sort_order,version,quote_status,currency,overhead_rate,markup_pct,freight_inbound,freight_outbound,cal_gases_cost,cal_gases_freight,training_days,training_cost,training_notes,discount_note,internal_notes,proforma_header,proforma_footer,other_items
PART,ASSY-DLT-HOODADPTR,ASSY,DLT,HOODADPTR,,,Hood to duct adapter,,ea,0.0,49.0,0.0,,,1.0,0.0,0.17,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,
PART,ASSY-DLT-STDPKG,ASSY,DLT,STDPKG,,,Standard dilution tunnel system.,,ea,0.0,1733.49855,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-CYCLONE-16.7LPM,ASSY,GRV,CYCLONE,16.7LPM,,Cyclone assembly with tube for sample port.,,ea,0.0,1076.1305,0.0,,,1.0,0.0,0.5,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-FILTERHOLDR-47MM-PLASTIC,ASSY,GRV,FILTERHOLDR,47MM,PLASTIC,47mm filter holder with cassette inside,,ea,0.0,259.87,0.0,,,1.0,0.0,0.5,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-FILTERMSRMNT,ASSY,GRV,FILTERMSRMNT,,,Filter measurement equipment and supplies,,ea,0.0,2670.96,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-GRAVPUMP,ASSY,GRV,GRAVPUMP,,,Gravimetric pump with base and switch,,ea,0.0,1038.3004,0.0,,,1.0,0.0,2.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-HOSEXTENSION,ASSY,GRV,HOSEXTENSION,,,Gravimetric filter hose extensions,,ea,0.0,53.464,0.0,,,1.0,0.0,0.5,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-SAMPLETRAIN-DUAL,ASSY,GRV,SAMPLETRAIN,DUAL,,"Dual gravimetric hose assembly with critical orifices, shutoff valves, pressure gauge.",,ea,0.0,273.87,0.0,,,1.0,0.0,1.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-SAMPLETRAIN-SINGLE,ASSY,GRV,SAMPLETRAIN,SINGLE,,"Single gravimetric hose assembly with critical orifice, shutoff valve, and pressure gauge.",,ea,0.0,154.718,0.0,,,1.0,0.0,1.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-STDPKG-T3,ASSY,GRV,STDPKG,,T3,Standard ISO gravimetric system for Tier 3 stoves - one cyclone,,ea,0.0,5998.33746,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-UPGRADE-TIER-4,ASSY,GRV,UPGRADE,TIER-4,,"All components for adding a second sample train to run two filters in parallel.  includes filter holders, critical orifice, cyclone, etc...",,ea,0.0,1869.7405,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-LAB-DURABILITY-KIT,ASSY,LAB,DURABILITY-KIT,,,Durability testing kit,,ea,0.0,2190.7117,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-LAB-DURABILITY-KIT-CORROSION-REFERENCES,ASSY,LAB,DURABILITY-KIT,CORROSION-REFERENCES,,"Sample coupons of Mild Steel, Hot-Dipped Galvanized Steel, ASTM 304 Stainless, and 409/410 stainless",,ea,0.0,7.47388,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-LAB-DURABILITY-KIT-IMPACT-SEGMENTS,ASSY,LAB,DURABILITY-KIT,IMPACT-SEGMENTS,,"3/4"" OD steel bar segments. 25g, 50g, 100g, 150g, 200g, 250g (+/- 1g)",,ea,0.0,4.74472,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-LAB-RASPBERRYPI5-STANDALONE,ASSY,LAB,RASPBERRYPI5,,STANDALONE,"Standalone Raspberry Pi with Ubuntu+Musa Plotter, includes power supply, case, mouse/keyboard, and 22"" monitor.",,ea,0.0,277.23,0.0,,,1.0,0.0,4.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-LAB-STDPKG,ASSY,LAB,STDPKG,,,Standard lab equipment package.,,ea,0.0,205.747497,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-FLOWGRIDTUBES,ASSY,SBX,FLOWGRIDTUBES,,,Flow grid tubing with QC's,,ea,0.0,54.4,0.0,,,1.0,0.0,0.08,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-SB4000,ASSY,SBX,SB4000,,,"4000 series sensor box, base model.",,ea,0.0,5355.02,0.0,,,1.0,0.0,24.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-STDPKG,ASSY,SBX,STDPKG,,,Standard sensorbox 4000 system.,,ea,0.0,5607.379,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-TCEXTNSN-6FT,ASSY,SBX,TCEXTNSN,6FT,,"Thermocouple extension cable, 6ft.",,ea,0.0,11.94,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-UPGRADE-CHIMNEYVELOC,ASSY,SBX,UPGRADE,,CHIMNEYVELOC,"SBX Upgrade: Hi-res pressure sensor, S-type Pitot probe and plumbing",,ea,0.0,255.508134,0.0,,,1.0,0.0,2.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-UPGRADE-DIGIGRAV,ASSY,SBX,UPGRADE,,DIGIGRAV,SBX Upgrade: Digital gravimetric flow monitors.,,ea,0.0,806.2638,0.0,,,1.0,0.0,5.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-UPGRADE-RASPBERRYPI5-INTEGRATED,ASSY,SBX,UPGRADE,RASPBERRYPI5-INTEGRATED,,"SBX Upgrade:  Integrated Raspberry Pi, with Ubuntu+MusaPlotter",,ea,0.0,306.618,0.0,,,1.0,0.0,4.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-UPGRADE-THERMEFCY,ASSY,SBX,UPGRADE,,THERMEFCY,"SBX Upgrade: 4 extra TC ports, high-temp thermocouples and amps.",,ea,0.0,286.36,0.0,,,1.0,0.0,4.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-UPGRADE-VIASALACO2,ASSY,SBX,UPGRADE,,VIASALACO2,SBX Upgrade: Viasala CO2 sensor,,ea,0.0,0.0,0.0,,,1.0,0.0,4.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
PART,FAB-CAL-CORNERCLAMP-HALF,FAB,CAL,CORNERCLAMP,HALF,,corner clamp cut in half,,ea,0.0,6.315,0.0,,,1.0,0.0,0.04,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
PART,FAB-CAL-GASCALTUBE-0250-6FT-PVC,FAB,CAL,GASCALTUBE,0250-6FT,PVC,"1/4""ID x 6ft PVC tubing for gas calibration",,ea,0.0,2.52,0.0,,,1.0,0.0,0.04,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
PART,FAB-CAL-LEAKCHECKSBAR-0313-6-STEEL,FAB,CAL,LEAKCHECKSBAR,0313-6,STEEL,"5/16"" OD x 6"" smooth steel bar, for leak checks.",,ea,0.0,0.8125,0.0,,,1.0,0.0,0.25,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
PART,FAB-CAL-MNMTRSTAND-STEEL,FAB,CAL,MNMTRSTAND,,STEEL,Steel stand for inclined manometer,,ea,0.0,10.6325,0.0,,,1.0,0.0,0.5,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
PART,FAB-CAL-PITOTCLAMPBRACKET,FAB,CAL,PITOTCLAMPBRACKET,,,Sheet Metal Brackets,,ea,0.0,2.475,0.0,,,1.0,0.0,0.25,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
PART,FAB-CAL-SYRINGETUBE-0188-1FT-SILICONE,FAB,CAL,SYRINGETUBE,0188-1FT,SILICONE,"Silicone tubing, fits syringe for leak checks.",,ea,0.0,1.33,0.0,,,1.0,0.0,0.04,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
PART,FAB-CAL-VELOCITYTRAVTUBE-0188-6FT-SILICONE,FAB,CAL,VELOCITYTRAVTUBE,0188-6FT,SILICONE,Blue silicone tubing for velocity traverse.,,ea,0.0,7.98,0.0,,,1.0,0.0,0.04,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
PART,FAB-CAL-ZEROGASTUBE-0250-4-PVC,FAB,CAL,ZEROGASTUBE,0250-4,PVC,"1/4"" ID PVC tubing for zero gas mixing manifold",,ea,0.0,0.1386,0.0,,,1.0,0.0,0.04,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
PART,FAB-DLT-BCSAMPTUBE-250,FAB,DLT,BCSAMPTUBE,250,,BC Sample Tube,,ea,0.0,5.26875,0.0,,,1.0,0.0,0.17,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,
PART,FAB-DLT-EMSAMPTUBE-250,FAB,DLT,EMSAMPTUBE,250,,Emissions Sample Tube,,ea,0.0,5.26875,0.0,,,1.0,0.0,0.17,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,
PART,FAB-DLT-GRVSAMPTUBE-313,FAB,DLT,GRVSAMPTUBE,313,,Gravimetric Sample Tube,,ea,0.0,4.335,0.0,,,1.0,0.0,0.17,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,
PART,FAB-DLT-QFDUCT-20-6,FAB,DLT,QFDUCT,20-6,,"6""x20"" Ducting",,ea,0.0,20.0066,0.0,,,1.0,0.0,0.17,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,
PART,FAB-DLT-QFDUCT-30-6,FAB,DLT,QFDUCT,30-6,,"6""x30"" Ducting",,ea,0.0,29.95,0.0,,,1.0,0.0,0.17,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,
PART,FAB-DLT-QFDUCT-30-6-SAMPPORTS,FAB,DLT,QFDUCT,30-6,SAMPPORTS,"6""x30"" Ducting with holes drilled for flowgrid and port collars",,ea,0.0,89.25,0.0,,,1.0,0.0,1.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
PART,FAB-DLT-QFMACHADPTR-6-WEAVEND,FAB,DLT,QFMACHADPTR,6,WEAVEND,"6"" Machine Adapter, end cut to weave onto flange",,ea,0.0,42.7,0.0,,,1.0,0.0,0.17,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,
PART,FAB-GRV-BRAIDEDTUBE-24,FAB,GRV,BRAIDEDTUBE,24,,"3/8"" ID X 24"" braided PVC tubing",,ea,0.0,2.72,0.0,,,1.0,0.0,0.04,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
PART,FAB-GRV-BRAIDEDTUBE-6,FAB,GRV,BRAIDEDTUBE,6,,"3/8"" ID X 6"" braided PVC tubing",,ea,0.0,0.68,0.0,,,1.0,0.0,0.04,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
PART,FAB-GRV-BRAIDEDTUBE-72,FAB,GRV,BRAIDEDTUBE,72,,"3/8"" ID X 72"" braided PVC tubing",,ea,0.0,8.16,0.0,,,1.0,0.0,0.04,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
PART,FAB-GRV-CYCLONETUBE-4,FAB,GRV,CYCLONETUBE,4,,"0.31""ID (fits 3/8""HB) x 4"" black silicone tube, for cyclone attachment",,ea,0.0,0.6825,0.0,,,1.0,0.0,0.04,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
PART,FAB-GRV-ENDCAP-0375FNPT-PVC,FAB,GRV,ENDCAP,0375FNPT,PVC,"PVC endcap drilled/tapped 3/8"" NPT, for filter holder",,ea,0.0,5.96,0.0,,,1.0,0.0,0.08,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
PART,FAB-GRV-FILTERBRACKET-6-DUAL,FAB,GRV,FILTERBRACKET,6,DUAL,"Gravimetric Filter Bracket, hangs from duct.",,ea,0.0,7.91856,0.0,,,1.0,0.0,0.5,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
PART,FAB-GRV-PUMPMOUNT-12-10,FAB,GRV,PUMPMOUNT,12-10,,HDPE Base Plate for Pump and Switch,,ea,0.0,168.7,0.0,,,1.0,0.0,0.33,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,
PART,FAB-LAB-CORROSION-COUPON-MILDSTEEL,FAB,LAB,CORROSION-COUPON,MILDSTEEL,,40mm x 40mm x 20g mild steel coupon,,ea,0.0,0.1683,0.0,,,1.0,0.0,0.08,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
PART,FAB-LAB-CORROSION-COUPON-SS-304,FAB,LAB,CORROSION-COUPON,SS-304,,40mm x 40mm x 20g 304 stainless steel coupon,,ea,0.0,0.24735,0.0,,,1.0,0.0,0.08,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
PART,FAB-LAB-CORROSION-COUPON-SS-410,FAB,LAB,CORROSION-COUPON,SS-410,,40mm x 40mm x 24g 409/410 stainless steel coupon,,ea,0.0,3.15129,0.0,,,1.0,0.0,0.08,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
PART,FAB-LAB-CORROSION-COUPON-STEEL-GALV,FAB,LAB,CORROSION-COUPON,STEEL-GALV,,40mm x 40mm x 20g hot-dipped galvanized steel coupon,,ea,0.0,0.17,0.0,,,1.0,0.0,0.08,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
PART,FAB-LAB-DURABILITY-KIT-DROP-TUBE-1M,FAB,LAB,DURABILITY-KIT,DROP-TUBE,1M,1m long metal tube for impact testing,,ea,0.0,7.5867,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,FAB-LAB-DURABILITY-KIT-IMPACT-SEGMENT-100G,FAB,LAB,DURABILITY-KIT,IMPACT-SEGMENT,100G,"100g (+/- 1g) segment of 3/4""OD mild steel round bar ",,ea,0.0,0.6071,0.0,,,1.0,0.0,0.08,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
PART,FAB-LAB-DURABILITY-KIT-IMPACT-SEGMENT-150G,FAB,LAB,DURABILITY-KIT,IMPACT-SEGMENT,150G,"150g (+/- 1g) segment of 3/4""OD mild steel round bar ",,ea,0.0,0.91999,0.0,,,1.0,0.0,0.08,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
